date,label,open,high,low,close,volume
1/31/2021 0:00,ETH/USD,1379.7,1381.8,1284.1,1314.232359,154945224.4
1/30/2021 0:00,ETH/USD,1379.7,1408.3,1325.3,1379.7,161571026.9
1/29/2021 0:00,ETH/USD,1328.775176,1443,1286.6,1379.1,738343230.8
1/28/2021 0:00,ETH/USD,1240.2,1361.3,1220.5,1328.6,491975888.7
1/27/2021 0:00,ETH/USD,1366.9,1374.9,1209,1240.1,551879872.5
1/26/2021 0:00,ETH/USD,1317.4,1378.2,1246.9,1367.572043,530791889.5
1/25/2021 0:00,ETH/USD,1395.1,1480,1295,1317.9,418476043.2
1/24/2021 0:00,ETH/USD,1233.6,1400,1220.8,1394.5,437209837.6
1/23/2021 0:00,ETH/USD,1235.6,1275,1197.8,1233.5,134624894.2
1/22/2021 0:00,ETH/USD,1112,1276,1048.9,1235.9,546705643.5
1/21/2021 0:00,ETH/USD,1378.254629,1389,1084.1,1111.8,508335604
1/20/2021 0:00,ETH/USD,1365.8,1409.3,1234,1378.1,356974126
1/19/2021 0:00,ETH/USD,1261.7,1439.8,1254.433325,1367.388431,420153126.3
1/18/2021 0:00,ETH/USD,1235.1,1263.2,1184.5,1261,145251687.3
1/17/2021 0:00,ETH/USD,1229,1273.09167,1163.4,1235.2,186715374.6
1/16/2021 0:00,ETH/USD,1167.6,1295.011932,1152.1,1228.9,222042944.5
1/15/2021 0:00,ETH/USD,1230.8,1255,1072,1167.7,285767362.3
1/14/2021 0:00,ETH/USD,1128.1,1245.9,1086,1229.883808,307486358.8
1/13/2021 0:00,ETH/USD,1051.7,1135.4,987.44,1128.1,272840094.8
1/12/2021 0:00,ETH/USD,1087,1150.5,1009.1,1052.3,289962213.8
1/11/2021 0:00,ETH/USD,1255.9,1261.179222,923,1087,842724435.5
1/10/2021 0:00,ETH/USD,1278.979364,1351,1170,1256.1,329540353.2
1/9/2021 0:00,ETH/USD,1214.6,1306.8,1171,1278.9,231617050.1
1/8/2021 0:00,ETH/USD,1221.5,1274.9,1060.8,1214.2,306917921.1
1/7/2021 0:00,ETH/USD,1209.4,1290,1143.3,1221.6,348092100.5
1/6/2021 0:00,ETH/USD,1101.7,1213.3,1058.9,1209.4,1167773092
1/5/2021 0:00,ETH/USD,1041.2,1134.1,968.29,1101.6,416598757.1
1/4/2021 0:00,ETH/USD,976.32,1159.4,860,1042.6,756931309.1
1/3/2021 0:00,ETH/USD,774.82,1009.4,769.9,977.47,516998809.1
1/2/2021 0:00,ETH/USD,729.46,786.36,714.89,774.21,106279536.3
