date,label,open,high,low,close,volume
1/31/2021 0:00,LTC/USD,133.52,135.17,125.79,129.58,5315665.105
1/30/2021 0:00,LTC/USD,134.78,136.43,127.95,133.46,8331123.234
1/29/2021 0:00,LTC/USD,133.13,146,131.58,134.96,18536000.99
1/28/2021 0:00,LTC/USD,122.51,135.84,120.82,133.1,9828402.377
1/27/2021 0:00,LTC/USD,134.81,135.14,118.24,122.62,13879980.51
1/26/2021 0:00,LTC/USD,137.13,139.83,128.47,134.82,12183046.77
1/25/2021 0:00,LTC/USD,141.26,147.96,136.68,137.03,12432497.6
1/24/2021 0:00,LTC/USD,137.65,142.94,134.1,141.17,6357702.102
1/23/2021 0:00,LTC/USD,137.88,143.97,135.22,137.73,5230724.779
1/22/2021 0:00,LTC/USD,129.76,142.14,123,138.06,19313017.06
1/21/2021 0:00,LTC/USD,149.77,150.24,125.74,129.73,26782317.44
1/20/2021 0:00,LTC/USD,151.74,156.25,138.17,149.92,20613881.23
1/19/2021 0:00,LTC/USD,152.31,166.69,150.46,151.93,22700264
1/18/2021 0:00,LTC/USD,143.03,155,138.67,152.06,16103535.43
1/17/2021 0:00,LTC/USD,143.62,147.13,136.27,143.05,6635512.793
1/16/2021 0:00,LTC/USD,143.61,152.82,139.11,143.7,11690148.8
1/15/2021 0:00,LTC/USD,152.3,155.47,130.38,143.91,16532715.04
1/14/2021 0:00,LTC/USD,147.33,156.84,143.31,152.59,17385178.31
1/13/2021 0:00,LTC/USD,133.51,148.38,125.95,147.26,17577211.29
1/12/2021 0:00,LTC/USD,139.02,147.35,128,133.79,35022389.28
1/11/2021 0:00,LTC/USD,170.3,170.78,112.75,139.02,100995030.9
1/10/2021 0:00,LTC/USD,177.43,185.75,162.14,170.28,36078678.01
1/9/2021 0:00,LTC/USD,172.05,179.19,163.09,177.38,22959685.1
1/8/2021 0:00,LTC/USD,169.07,181.58,149.55,172,43985559.91
1/7/2021 0:00,LTC/USD,169.26,181.26,160.86,169.29,65581185.11
1/6/2021 0:00,LTC/USD,158.67,169.71,155.11,168.84,39141262.75
1/5/2021 0:00,LTC/USD,155.39,162.97,146.28,158.61,29726409.52
1/4/2021 0:00,LTC/USD,160.88,173.47,139.53,155.35,51774293.26
1/3/2021 0:00,LTC/USD,136.98,164.73,135.36,161.27,65853626.13
1/2/2021 0:00,LTC/USD,126.32,142.18,123.27,136.92,32818933.44
1/1/2021 0:00,LTC/USD,124.26,134.09,122.97,126.41,16487915.08
12/31/2020 0:00,LTC/USD,130.07,130.3,121.64,124.2,8819698.206
12/30/2020 0:00,LTC/USD,128.62,133.13,122.77,130.11,13664360.36
12/29/2020 0:00,LTC/USD,129.75,130.72,119.91,128.59,12198667.41
12/28/2020 0:00,LTC/USD,127.73,136.77,126.28,129.79,15536769.29
12/27/2020 0:00,LTC/USD,129.32,139.25,121.11,127.73,35654017.84
12/26/2020 0:00,LTC/USD,127.92,134.66,124.63,129.33,32303956.87
12/25/2020 0:00,LTC/USD,111.13,128.68,108.39,127.64,37267149.5
12/24/2020 0:00,LTC/USD,102.29,112.33,98.527,111.17,17150748.89
12/23/2020 0:00,LTC/USD,114.3,117.11,95.47,102.25,35804178.38
12/22/2020 0:00,LTC/USD,104.31,114.59,98.124,114.32,23775484.34
12/21/2020 0:00,LTC/USD,114.36,118.48,100.36,104.41,27102985.06
12/20/2020 0:00,LTC/USD,119.71,123.19,109.35,114.38,30232792.15
12/19/2020 0:00,LTC/USD,109.48,124.3,105.32,119.68,32617533.89
12/18/2020 0:00,LTC/USD,100.89,112.64,99.097,109.49,30644032.81
12/17/2020 0:00,LTC/USD,92.863,109.43,90.101,100.94,48083502.87
12/16/2020 0:00,LTC/USD,81.466,93.091,78.396,92.907,21583699.88
12/15/2020 0:00,LTC/USD,82.444,84.969,80.291,81.478,8170041.5
12/14/2020 0:00,LTC/USD,82.335,83.036,79.158,82.291,4383560.969
12/13/2020 0:00,LTC/USD,76.671,84.451,75.539,82.244,7816085.047
12/12/2020 0:00,LTC/USD,72.278,77.65,72.075,76.658,5724688.482
12/11/2020 0:00,LTC/USD,74.716,75.105,70.043,72.266,8804900.744
12/10/2020 0:00,LTC/USD,77.418,77.677,73.226,74.752,2855193.765
12/9/2020 0:00,LTC/USD,76.729,78.272,72.288,77.5,10493598.3
12/8/2020 0:00,LTC/USD,83.457,84.837,75.449,76.713,9583692.887
12/7/2020 0:00,LTC/USD,83.707,86.97,81.789,83.408,8140001.836
12/6/2020 0:00,LTC/USD,83.235,85.171,80.422,83.877,3902943.643
12/5/2020 0:00,LTC/USD,79.498,84.262,78.758,83.204,2595734.637
12/4/2020 0:00,LTC/USD,89.097,89.913,77.784,79.615,8675628.102
12/3/2020 0:00,LTC/USD,89.088,91.83,85.522,89.103,8161462.453
